epoch,time_completed,mse,mae,r_2
1,2019-07-25 20:35:39,606370480.559131,12080.398417863622,0.006500828514888868
2,2019-07-25 20:35:40,605598008.7741507,14190.568675302204,0.007766474028611525
3,2019-07-25 20:35:40,613806342.8454607,14855.611832545239,-0.005682355293686214
4,2019-07-25 20:35:40,617795810.1511735,15339.348845750172,-0.01221884179817101
5,2019-07-25 20:35:40,629380584.1109452,15914.891248254831,-0.03119975148932652
6,2019-07-25 20:35:41,651274441.7356575,17092.35459800596,-0.06707143407965921
7,2019-07-25 20:35:41,628716432.642799,16151.564768507873,-0.030111581872732662
8,2019-07-25 20:35:41,632991196.3499614,16389.367478746568,-0.03711550824699206
9,2019-07-25 20:35:41,660476652.4178739,17638.621661989386,-0.08214866653362574
10,2019-07-25 20:35:42,656670258.1054085,17469.935881796784,-0.07591213339584368
11,2019-07-25 20:35:42,640263163.0018085,16808.127619058945,-0.04903015956216761
12,2019-07-25 20:35:42,644593927.8379952,17153.04538973801,-0.0561258401973479
13,2019-07-25 20:35:42,650317578.6495094,17477.015912798524,-0.06550367523619416
14,2019-07-25 20:35:43,666485767.3181733,18047.81459955375,-0.0919942161871996
15,2019-07-25 20:35:43,644747652.2542396,17325.63843633717,-0.05637770780151441
16,2019-07-25 20:35:43,693609122.3961616,19055.39821057461,-0.1364340952080747
17,2019-07-25 20:35:44,670481232.350635,18422.276892134785,-0.09854052958258164
18,2019-07-25 20:35:44,702068858.610802,19397.838348327776,-0.15029483083042572
19,2019-07-25 20:35:44,719083699.9210774,20047.031641258218,-0.1781725578746609
20,2019-07-25 20:35:44,722219453.0512395,20197.19811767789,-0.1833102884151141
