,Municipio,Localidad,Coordenadas,Unnamed: 3,Muestra,FECHA DE MUESTREO ,pH,Conductividad (μs/cm),As (μg/L),Flúor (mg/L),Na+ (mg/L),K+    (mg/L),Fe+ (mg/L),Ca+ (mg/L),Mg+ (mg/L),NO3- (mg/L),Cl- (mg/L), CO3-2 (mg/L),HCO3- (mg/L),Alcalinidad total                (mg CaCO3/L),SO4,Tipo de Agua
0,,,Longitud,Latitud,,,,,,,,,,,,,,,,,,
56,Tepehuanes,Pozo 1,-105.716899,25.326659,115.0,2017-10-20,8.4,348.0,34.342,1.11,54.999,4.056,<0.1,14.309,0.966,12.55015,6.41,0.0,122.10000000000001,122.10000000000001,18.3283,BICARBONATADA SODICA
57,Tepehuanes,Pozo 2,-105.728979,25.340786,116.0,2017-10-20,8.52,481.7,15.518,0.459,51.273,3.845,<0.1,47.649,1.918,29.5529,11.9,13.200000000000001,171.60000000000002,184.80000000000007,28.366799999999998,BICARBONATADA CALCICA Y/O MAGNESICA
58,Tepehuanes,Pozo 3,-105.71688,25.32646,117.0,2017-10-20,8.52,480.3,27.19,0.446,50.903,3.863,<0.1,47.67,1.836,20.04685,12.0,6.6000000000000005,174.9,181.5,17.4625,BICARBONATADA CALCICA Y/O MAGNESICA
59,Tepehuanes,San José de la Boca,-105.770849,25.33343,118.0,2017-10-20,8.58,432.8,19.456,2.01,70.037,6.713,<0.1,9.376,1.225,2.93215,3.97,0.0,148.50000000000003,148.50000000000003,60.3963,BICARBONATADA SODICA
60,Durango,5 de mayo,-104.57493,24.10197,119.0,2017-12-08,8.059999999999999,649.75,26.8815,3.79,68.062,6.789,,51.269000000000005,13.2395,15.202950000000001,28.555349999999997,0.0,217.8,217.8,76.56084999999999,BICARBONATADA CALCICA Y/O MAGNESICA
61,Durango,Abraham González,-104.5294236,24.2109179,120.0,2017-12-08,8.175,884.25,45.256,5.45,128.50150000000002,9.237,,15.115,4.84,1.2833,13.586549999999999,0.0,420.75,420.75,34.277699999999996,BICARBONATADA SODICA
62,Durango,Fracc. Caleto,Sin coordenadas,sin coordenadas,121.0,2017-12-08,8.375,227.5,34.051500000000004,3.21,30.529,1.4595,,17.716,0.109,4.59535,2.73115,0.0,97.15,97.15,10.87115,BICARBONATADA SODICA
63,Durango,Col Cerro del Mercado,-104.67935,24.044019,122.0,2017-12-08,8.16,214.14999999999998,30.8335,2.88,28.7225,1.347,,17.7115,0.1355,5.48995,4.2542,0.0,86.15,86.15,9.947099999999999,BICARBONATADA SODICA
64,Durango,Col Hidalgo Int.,-104.589384,24.157366,123.0,2017-12-08,7.960000000000001,531.9,13.55,4.03,86.4435,7.819,,26.372500000000002,7.367,4.2598,9.36505,0.0,237.6,237.6,14.47345,BICARBONATADA SODICA
65,Durango,Col Hidalgo Ext.,-104.58433,24.15652,124.0,2017-12-08,7.4399999999999995,540.1500000000001,16.042,3.91,87.602,7.7925,,26.317500000000003,7.413,4.55785,13.2378,0.0,232.64999999999998,232.64999999999998,19.07905,BICARBONATADA SODICA
