,Municipio,Localidad,Coordenadas,Unnamed: 3,Muestra,FECHA DE MUESTREO ,pH,Conductividad (μs/cm),As (μg/L),Flúor (mg/L),Na+ (mg/L),K+    (mg/L),Fe+ (mg/L),Ca+ (mg/L),Mg+ (mg/L),NO3- (mg/L),Cl- (mg/L), CO3-2 (mg/L),HCO3- (mg/L),Alcalinidad total                (mg CaCO3/L),SO4,Tipo de Agua
0,,,Longitud,Latitud,,,,,,,,,,,,,,,,,,
122,Gómez Palacio,Gómez Palacio,-103.501449,25.551033,181.0,2018-02-08,7.395,893.9000000000001,16.506999999999998,0.389,87.62,5.835,,90.4485,15.895,35.569,37.9625,0.0,188.1,188.1,180.24349999999998,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
123,Gómez Palacio,Gómez Palacio,-103.50218,25.56944,182.0,2018-02-08,7.74,1146.0,18.113500000000002,0.4625,94.7255,6.48,,134.04000000000002,24.21,48.151,56.1725,0.0,202.95,202.95,303.394,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
124,Gómez Palacio,Gómez Palacio,-103.511349,25.566923,183.0,2018-02-08,7.62,1336.5,20.5565,0.505,104.4,6.595000000000001,,146.62,31.025,38.815,56.64149999999999,0.0,202.95,202.95,367.39750000000004,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
125,Lerdo,Lerdo,-103.522584,25.541864,184.0,2018-02-08,7.7,518.85,12.589500000000001,0.3115,31.713499999999996,4.29,,61.5185,10.105,3.89505,4.1489,0.0,207.9,207.9,20.84165,BICARBONATADA CALCICA Y/O MAGNESICA
126,Lerdo,Lerdo,-103.54054,25.53971,185.0,2018-02-08,7.755,520.6,12.7985,0.28049999999999997,31.299,4.324999999999999,,61.2125,10.225000000000001,3.5633,7.9786,0.0,198.0,198.0,71.97,BICARBONATADA CALCICA Y/O MAGNESICA
127,Lerdo,Lerdo,-103.53056,25.52223,186.0,2018-02-08,7.665,515.0,5.729,0.315,31.526,4.34,0,60.712,9.82,3.9672,8.8167,9.900000000000002,188.1,198.0,80.0103,BICARBONATADA CALCICA Y/O MAGNESICA
128,Durango,Fracc Fidel Velazquez Pozo,-104.603,24.063,187.0,2018-05-31,7.609999999999999,667.75,29.840373295,3.30215,41.510999999999996,11.780000000000001,,69.97749999999999,3.3499999999999996,35.1188,14.8749,0.0,300.30000000000007,300.30000000000007,65.15475,BICARBONATADA CALCICA Y/O MAGNESICA
129,Durango,Fracc Las Fuentes Pozo,-104.618,24.045,188.0,2018-05-31,7.92,606.5,30.805276780000003,2.7408,43.068,0.475,,63.6015,1.4285,26.155250000000002,12.04735,0.0,300.30000000000007,300.30000000000007,36.135400000000004,BICARBONATADA CALCICA Y/O MAGNESICA
130,Durango,Joyas del Valle Pozo,-104.62,24.04,189.0,2018-05-31,7.859999999999999,738.65,23.428890065000004,2.2747,44.22,0.3875,,64.779,1.655,40.04865,22.38225,0.0,361.725,361.725,57.00305,BICARBONATADA CALCICA Y/O MAGNESICA
131,Durango,Fracc Guadalupe Pozo,-104.629,24.041,190.0,2018-05-31,7.855,387.3,34.29377399500001,4.6612,32.895,6.1965,,24.481,0.62,16.12495,7.9567499999999995,0.0,197.92499999999998,197.92499999999998,31.6073,BICARBONATADA SODICA
132,Durango,Seminario Pozo,-104.618,24.06,191.0,2018-05-31,8.695,230.8,43.39911724000001,5.3848,29.302999999999997,2.2565,,12.786999999999999,0.11599999999999999,5.49575,3.2361,0.0,122.85,122.85,13.41595,BICARBONATADA SODICA
133,Durango,Col Francisco Zarco Pozo,-104.646,24.042,192.0,2018-05-31,8.129999999999999,285.5,27.96368707,3.5486,34.497,1.4005,,24.46,0.0455,10.253599999999999,7.05955,0.0,143.32500000000002,143.32500000000002,16.324849999999998,BICARBONATADA SODICA
134,Durango,Col Armando del Castillo Pozo,-104.655,24.038,193.0,2018-05-31,8.065000000000001,314.4,25.68033153,2.9545,35.1325,2.1205,,30.6665,0.1525,7.465,7.7505,0.0,156.97500000000002,156.97500000000002,16.87155,BICARBONATADA SODICA
135,Durango,La campana,-104.575,24.035,194.0,2018-05-31,8.385000000000002,279.2,31.81142515,4.5176,36.446,1.3965,,17.859,0.05,5.7661999999999995,1.78125,0.0,150.15000000000003,150.15000000000003,19.1449,BICARBONATADA SODICA
136,Durango,Explanada Pozo,-104.677,24.037,195.0,2018-05-31,8.025,209.10000000000002,29.496008275,3.3074,25.049500000000002,1.2389999999999999,,18.0055,0.052500000000000005,3.3779,1.16245,0.0,116.025,116.025,10.49855,BICARBONATADA SODICA
137,Durango,Col. Morga Pozo,-104.685,24.051,196.0,2018-05-31,8.215,176.64999999999998,31.0262584,3.5195499999999997,20.168999999999997,1.0779999999999998,,14.312000000000001,0.0365,2.10865,0.0,9.900000000000002,109.2,109.2,7.9718,BICARBONATADA SODICA
138,Durango,Col Lopez Portillo Pozo,-104.689,24.053,197.0,2018-05-31,8.24,180.7,52.17045343,3.27825,22.5595,1.1065,,14.9115,0.025,2.20315,0.0,19.800000000000004,109.2,109.2,8.4176,BICARBONATADA SODICA
139,Durango,Integral Poniente Pozo,-104.682,24.041,198.0,2018-05-31,8.195,190.3,31.68401181,3.33115,21.706,1.186,,15.057500000000001,0.040499999999999994,2.3823499999999997,0.0,24.75,109.2,109.2,9.287749999999999,BICARBONATADA SODICA
140,Durango,Juana Villalobos Pozo,-104.682,24.035,199.0,2018-05-31,8.030000000000001,216.60000000000002,29.391870495,3.2954499999999998,24.826999999999998,1.758,,18.0655,0.0875,1.5559,3.99195,24.75,122.85,122.85,10.2817,BICARBONATADA SODICA
141,Durango,Col La Virgen Pozo,-104.689,24.028,200.0,2018-05-31,8.129999999999999,217.15,31.603064025000002,3.2372,23.2805,1.2455,,18.7105,0.07949999999999999,0.30525,2.4238999999999997,9.900000000000002,129.675,129.675,9.8026,BICARBONATADA SODICA
142,Durango,Feria Viejo Pozo,-104.689,24.017,201.0,2018-05-31,7.75,234.89999999999998,25.676797085,3.3213,23.5995,2.7295,,22.448,0.443,1.916,2.9914,0.0,136.5,136.5,12.216999999999999,BICARBONATADA CALCICA Y/O MAGNESICA
143,Durango,Col Valle del Sur Pozo,-104.682,24.01,202.0,2018-05-31,8.135000000000002,237.14999999999998,27.85972261,2.7984999999999998,27.933500000000002,1.702,,21.049,0.101,0.79095,2.9486,0.0,129.675,129.675,10.08515,BICARBONATADA SODICA
144,Durango,Morelos Sur Pozo,-104.655,23.997,203.0,2018-05-31,7.76,390.0,30.283849439999997,2.8565,23.27,7.415,,42.806,2.3135,13.1661,15.97955,0.0,197.92499999999998,197.92499999999998,19.03555,BICARBONATADA CALCICA Y/O MAGNESICA
145,Durango,Gabino Santillan,-104.624,23.964,204.0,2018-05-31,7.925000000000001,280.95000000000005,19.834359499999998,2.49925,31.6695,1.2965,,22.974,0.028,0.37615,3.26135,0.0,163.79999999999998,163.79999999999998,19.824150000000003,BICARBONATADA SODICA
