epoch,time_completed,mse,mae,r_2
1,2019-07-25 19:52:42,870849810.58477,16140.255387031188,-0.42683160385075003
2,2019-07-25 19:52:42,870871708.0695212,16141.029240898837,-0.42686748147615483
3,2019-07-25 19:52:43,870879189.853123,16141.280093648063,-0.4268797398990958
4,2019-07-25 19:52:43,870881145.5386046,16141.343030284235,-0.4268829441644222
5,2019-07-25 19:52:43,870881821.9549228,16141.364165608073,-0.42688405242920924
6,2019-07-25 19:52:44,870882147.1461536,16141.374250374603,-0.42688458523420025
7,2019-07-25 19:52:44,870882316.8608427,16141.37950818557,-0.42688486330084174
8,2019-07-25 19:52:44,870882405.1588354,16141.382243368562,-0.4268850079714439
9,2019-07-25 19:52:44,870882453.2241397,16141.383732255614,-0.42688508672336467
10,2019-07-25 19:52:45,870882478.1874852,16141.38450552719,-0.4268851276242065
11,2019-07-25 19:52:45,870882490.9232426,16141.384900033492,-0.4268851484909286
12,2019-07-25 19:52:45,870882501.6937286,16141.385233663043,-0.4268851661376796
13,2019-07-25 19:52:45,870882503.9669338,16141.385304078478,-0.4268851698621807
14,2019-07-25 19:52:46,870882506.4342133,16141.385380505604,-0.42688517390465996
15,2019-07-25 19:52:46,870882503.3592163,16141.385285253657,-0.42688516886647476
16,2019-07-25 19:52:46,870882502.8729043,16141.385270189512,-0.4268851680696837
17,2019-07-25 19:52:47,870882498.0254159,16141.385120032373,-0.4268851601273844
18,2019-07-25 19:52:47,870882496.2771871,16141.385065878761,-0.42688515726302345
19,2019-07-25 19:52:47,870882497.4922913,16141.38510351816,-0.42688515925389403
20,2019-07-25 19:52:47,870882491.9142671,16141.384930731749,-0.42688515011465866
